,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
10,10,10,10,2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.375,0.23536598332360822,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,11.0,29,16430.0
11,11,11,11,0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,0.375,0.23536598332360822,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,11.0,29,16925.0
12,12,12,12,0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.849591542527631,0.375,0.23536598332360822,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,12.047619047619047,28,20970.0
13,13,13,13,0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.849591542527631,0.375,0.23536598332360822,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,12.047619047619047,28,21105.0
14,14,14,14,1,122,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.5500000000000007,0.808309471142746,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,12.65,25,24565.0
15,15,15,15,0,122,bmw,gas,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.5500000000000007,0.808309471142746,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15.8125,22,30760.0
16,16,16,16,0,122,bmw,gas,std,two,sedan,rwd,front,103.5,0.9312830370014417,0.6333333333333341,-0.010181225741733229,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15.8125,22,41315.0
17,17,17,17,0,122,bmw,gas,std,four,sedan,rwd,front,110.0,0.9466602594906295,0.8833333333333341,1.0538566802080875,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16.866666666666667,20,36880.0
18,18,18,18,2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.6780394041326285,0.0,-0.21480389996285304,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,5.382978723404255,53,5151.0
19,19,19,19,1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,0.7491590581451226,0.27500000000000036,-0.7058983180935418,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.657894736842105,43,6295.0
20,20,20,20,0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,0.7630946660259491,0.27500000000000036,-0.7058983180935418,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.657894736842105,43,6575.0
21,21,21,21,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.1969927362242305,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,6.837837837837838,41,5572.0
22,22,22,22,1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.1969927362242305,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,8.161290322580646,38,6377.0
23,23,23,23,1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.1969927362242305,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,10.541666666666666,30,7957.0
24,24,24,24,1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.2788418059126767,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,8.161290322580646,38,6229.0
25,25,25,25,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.2788418059126767,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,8.161290322580646,38,6692.0
26,26,26,26,1,148,dodge,gas,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.2788418059126767,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,8.161290322580646,38,7609.0
27,27,27,27,1,148,dodge,gas,turbo,four,sedan,fwd,front,93.7,0.7558865929841423,0.2916666666666667,-1.2788418059126767,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,10.541666666666666,30,8558.0
28,28,28,28,-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,0.8390197020663143,0.3583333333333331,2.486215399755926,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,10.541666666666666,30,8921.0
29,29,29,29,3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5,-1.442539945289572,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,13.31578947368421,24,12964.0
30,30,30,30,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.3000000000000001,-1.1969927362242305,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,5.163265306122449,54,6479.0
31,31,31,31,2,137,honda,gas,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.3000000000000001,-1.1969927362242305,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,8.161290322580646,38,6855.0
32,32,32,32,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.30833333333333357,-0.46035110902819737,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,6.657894736842105,42,5399.0
33,33,33,33,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.30833333333333357,-0.46035110902819737,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,8.433333333333334,34,6529.0
34,34,34,34,1,101,honda,gas,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.30833333333333357,-0.46035110902819737,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,8.433333333333334,34,7129.0
35,35,35,35,0,110,honda,gas,std,four,sedan,fwd,front,96.5,0.7851994233541567,0.30833333333333357,0.3172150530120573,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,8.433333333333334,34,7295.0
36,36,36,36,0,78,honda,gas,std,four,wagon,fwd,front,96.5,0.754925516578568,0.3000000000000001,1.8723473770925667,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,8.433333333333334,34,7295.0
37,37,37,37,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4083333333333338,-0.1738793651186314,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,9.37037037037037,33,7895.0
38,38,38,38,0,106,honda,gas,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4083333333333338,-0.1738793651186314,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,9.37037037037037,33,9095.0
39,39,39,39,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.4083333333333338,0.15351691363516204,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,9.37037037037037,33,8845.0
40,40,40,40,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.18333333333333357,0.15351691363516204,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,9.37037037037037,33,10295.0
41,41,41,41,0,85,honda,gas,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.4083333333333338,0.15351691363516204,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,10.541666666666666,28,12945.0
42,42,42,42,1,107,honda,gas,std,two,sedan,fwd,front,96.5,0.8125901009130225,0.47500000000000026,-1.1151436665357815,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,10.12,31,10345.0
43,43,43,43,0,122,isuzu,gas,std,four,sedan,rwd,front,94.3,0.8202787121576165,0.125,-0.09203029543018232,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,10.541666666666666,29,6785.0
44,44,44,44,1,122,isuzu,gas,std,two,sedan,fwd,front,94.5,0.7491590581451226,0.27500000000000036,-0.7058983180935418,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.657894736842105,43,
45,45,45,45,0,122,isuzu,gas,std,four,sedan,fwd,front,94.5,0.7491590581451226,0.27500000000000036,-0.7058983180935418,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,6.657894736842105,43,
46,46,46,46,2,122,isuzu,gas,std,two,hatchback,rwd,front,96.0,0.8294089380105718,0.4083333333333338,-0.9514455271588861,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,10.541666666666666,29,11048.0
47,47,47,47,0,145,jaguar,gas,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.7749999999999998,-0.3785020393397512,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,16.866666666666667,19,32250.0
48,48,48,48,0,122,jaguar,gas,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.7749999999999998,-0.3785020393397512,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,16.866666666666667,19,35550.0
49,49,49,49,0,122,jaguar,gas,std,two,sedan,rwd,front,102.0,0.921191734742912,0.8583333333333331,-2.4247287815509493,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,19.46153846153846,17,36000.0
50,50,50,50,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.32500000000000046,0.15351691363516204,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,8.433333333333334,31,5195.0
51,51,51,51,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.32500000000000046,0.15351691363516204,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,8.161290322580646,38,6095.0
52,52,52,52,1,104,mazda,gas,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.32500000000000046,0.15351691363516204,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,8.161290322580646,38,6795.0
53,53,53,53,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.32500000000000046,0.15351691363516204,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,8.161290322580646,38,6695.0
54,54,54,54,1,113,mazda,gas,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.32500000000000046,0.15351691363516204,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,8.161290322580646,38,7395.0
55,55,55,55,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.45000000000000046,-1.6880871543549163,2380,rotor,two,70,4bbl,,3.255422885572139,9.4,101.0,6000.0,14.882352941176473,23,10945.0
56,56,56,56,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.45000000000000046,-1.6880871543549163,2380,rotor,two,70,4bbl,,3.255422885572139,9.4,101.0,6000.0,14.882352941176473,23,11845.0
57,57,57,57,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.45000000000000046,-1.6880871543549163,2385,rotor,two,70,4bbl,,3.255422885572139,9.4,101.0,6000.0,14.882352941176473,23,13645.0
58,58,58,58,3,150,mazda,gas,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.45000000000000046,-1.6880871543549163,2500,rotor,two,80,mpfi,,3.255422885572139,9.4,135.0,6000.0,15.8125,23,15645.0
59,59,59,59,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.5166666666666669,-0.010181225741733229,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.73076923076923,32,8845.0
60,60,60,60,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.5166666666666669,0.7264604014542969,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.73076923076923,32,8495.0
61,61,61,61,1,129,mazda,gas,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.5166666666666669,-0.010181225741733229,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.73076923076923,32,10595.0
62,62,62,62,0,115,mazda,gas,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.5166666666666669,0.7264604014542969,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.73076923076923,32,10245.0
63,63,63,63,0,122,mazda,diesel,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.5166666666666669,0.7264604014542969,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,7.027777777777778,42,10795.0
64,64,64,64,0,115,mazda,gas,std,four,hatchback,fwd,front,98.8,0.8543969245555022,0.5166666666666669,0.7264604014542969,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,9.73076923076923,32,11245.0
65,65,65,65,0,118,mazda,gas,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.4833333333333331,0.27629051816783273,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,13.31578947368421,27,18280.0
66,66,66,66,0,122,mazda,diesel,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.4833333333333331,0.27629051816783273,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,8.161290322580646,39,18344.0
67,67,67,67,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,0.9173474291206152,0.8333333333333334,1.1357057498965366,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,11.5,25,25552.0
68,68,68,68,-1,93,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,0.9173474291206152,0.8333333333333334,2.0360455164694646,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,11.5,25,28248.0
69,69,69,69,0,93,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,0.9010091302258529,0.8333333333333334,0.4809131923889526,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,11.5,25,28176.0
70,70,70,70,-1,93,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,0.9735703988467083,0.9500000000000005,1.0538566802080875,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,11.5,25,31600.0
71,71,71,71,-1,122,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,0.9735703988467083,0.9500000000000005,1.1357057498965366,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,15.8125,18,34184.0
72,72,72,72,3,142,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,0.8664103796251803,0.8500000000000002,-1.1969927362242305,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,15.8125,18,35056.0
73,73,73,73,0,122,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,1.0,0.9500000000000005,1.2175548195849857,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,18.071428571428573,16,40960.0
74,74,74,74,1,122,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,0.9572320999519461,0.9750000000000002,0.6855358666100724,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,18.071428571428573,16,45400.0
75,75,75,75,1,122,mercury,gas,turbo,two,hatchback,rwd,front,102.7,0.857280153772225,0.6416666666666669,0.43998865754472805,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,13.31578947368421,24,16503.0
76,76,76,76,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.3416666666666674,-1.1969927362242305,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,6.837837837837838,41,5389.0
77,77,77,77,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.3416666666666674,-1.1969927362242305,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,8.161290322580646,38,6189.0
78,78,78,78,2,161,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.3416666666666674,-1.1969927362242305,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,8.161290322580646,38,6669.0
79,79,79,79,1,161,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,0.7558865929841423,0.2916666666666667,-1.1969927362242305,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,10.541666666666666,30,7689.0
80,80,80,80,3,153,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4250000000000007,-1.7699362240433654,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,11.0,30,9959.0
81,81,81,81,3,153,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4250000000000007,-1.7699362240433654,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,10.12,32,8499.0
82,82,82,82,3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5,-1.442539945289572,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,13.31578947368421,24,12629.0
83,83,83,83,3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5,-1.442539945289572,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,13.31578947368421,24,14869.0
84,84,84,84,3,122,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5,-1.442539945289572,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,13.31578947368421,24,14489.0
85,85,85,85,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.4250000000000007,-0.869596457470437,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,10.12,32,6989.0
86,86,86,86,1,125,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.4250000000000007,-0.869596457470437,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,10.12,32,8189.0
87,87,87,87,1,125,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,0.8284478616049976,0.4250000000000007,-0.869596457470437,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,11.0,30,9279.0
88,88,88,88,-1,137,mitsubishi,gas,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.4250000000000007,-0.869596457470437,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,11.0,30,9279.0
89,89,89,89,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8.161290322580646,37,5499.0
90,90,90,90,1,128,nissan,diesel,std,two,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,5.622222222222222,50,7099.0
91,91,91,91,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8.161290322580646,37,6649.0
92,92,92,92,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8.161290322580646,37,6849.0
93,93,93,93,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.2916666666666667,-0.09203029543018232,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8.161290322580646,37,7349.0
94,94,94,94,1,128,nissan,gas,std,two,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8.161290322580646,37,7299.0
95,95,95,95,1,128,nissan,gas,std,two,hatchback,fwd,front,94.5,0.7957712638154734,0.2916666666666667,-0.1738793651186314,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8.161290322580646,37,7799.0
96,96,96,96,1,122,nissan,gas,std,four,sedan,fwd,front,94.5,0.794329649207112,0.2916666666666667,0.3172150530120573,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8.161290322580646,37,7499.0
97,97,97,97,1,103,nissan,gas,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.2916666666666667,-0.09203029543018232,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8.161290322580646,37,7999.0
98,98,98,98,2,168,nissan,gas,std,two,hardtop,fwd,front,95.1,0.7803940413262855,0.2916666666666667,-0.1738793651186314,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,8.161290322580646,37,8249.0
99,99,99,99,0,106,nissan,gas,std,four,hatchback,fwd,front,97.2,0.8332532436328689,0.4083333333333338,0.3990641227005064,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,9.37037037037037,34,8949.0
100,100,100,100,0,106,nissan,gas,std,four,sedan,fwd,front,97.2,0.8332532436328689,0.4083333333333338,0.3990641227005064,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,9.37037037037037,34,9549.0
101,101,101,101,0,128,nissan,gas,std,four,sedan,fwd,front,100.4,0.8731379144641999,0.5166666666666669,0.5627622620774017,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,14.882352941176473,22,13499.0
102,102,102,102,0,108,nissan,gas,std,four,wagon,fwd,front,100.4,0.8870735223450265,0.5166666666666669,0.9720076105196412,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,14.882352941176473,22,14399.0
103,103,103,103,0,108,nissan,gas,std,four,sedan,fwd,front,100.4,0.8870735223450265,0.5166666666666669,0.5627622620774017,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,13.31578947368421,25,13499.0
104,104,104,104,3,194,nissan,gas,std,two,hatchback,rwd,front,91.3,0.8202787121576165,0.6333333333333341,-1.6471626195106917,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,13.31578947368421,25,17199.0
105,105,105,105,3,194,nissan,gas,turbo,two,hatchback,rwd,front,91.3,0.8202787121576165,0.6333333333333341,-1.6471626195106917,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,14.882352941176473,23,19699.0
106,106,106,106,1,231,nissan,gas,std,two,hatchback,rwd,front,99.2,0.857760691975012,0.6333333333333341,-1.6471626195106917,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,13.31578947368421,25,18399.0
107,107,107,107,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164824603556,0.6750000000000007,1.2175548195849857,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,13.31578947368421,24,11900.0
108,108,108,108,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164824603556,0.6750000000000007,1.2175548195849857,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.035714285714286,33,13200.0
109,109,109,109,0,122,peugot,gas,std,four,wagon,rwd,front,114.2,0.9557904853435849,0.6750000000000007,2.0360455164694646,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,13.31578947368421,24,12440.0
110,110,110,110,0,122,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.9557904853435849,0.6750000000000007,2.0360455164694646,3430,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,10.12,25,13860.0
111,111,111,111,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164824603556,0.6750000000000007,1.2175548195849857,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,13.31578947368421,24,15580.0
112,112,112,112,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164824603556,0.6750000000000007,1.2175548195849857,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.035714285714286,33,16900.0
113,113,113,113,0,122,peugot,gas,std,four,wagon,rwd,front,114.2,0.9557904853435849,0.6750000000000007,1.2175548195849857,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,13.31578947368421,24,16695.0
114,114,114,114,0,122,peugot,diesel,turbo,four,wagon,rwd,front,114.2,0.9557904853435849,0.6750000000000007,2.0360455164694646,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,10.12,25,17075.0
115,115,115,115,0,161,peugot,gas,std,four,sedan,rwd,front,107.9,0.897164824603556,0.6750000000000007,1.2175548195849857,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,13.31578947368421,24,16630.0
116,116,116,116,0,161,peugot,diesel,turbo,four,sedan,rwd,front,107.9,0.897164824603556,0.6750000000000007,1.2175548195849857,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,9.035714285714286,33,17950.0
