,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
15,15,15,15,16,16,0,122,bmw,two,sedan,rwd,front,103.5,0.9312830370014415,0.6495726495726502,-0.0272350940034621,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15.8125,22,41315.0,Medium,0,1,1,0
16,16,16,16,17,17,0,122,bmw,four,sedan,rwd,front,110.0,0.9466602594906296,0.9059829059829064,1.03493357213162,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16.866666666666667,20,36880.0,Medium,0,1,1,0
17,17,17,17,18,18,2,121,chevrolet,two,hatchback,fwd,front,88.4,0.6780394041326285,0.0,-0.2314982990294399,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,5.382978723404255,53,5151.0,low,0,1,1,0
18,18,18,18,19,19,1,98,chevrolet,two,hatchback,fwd,front,94.5,0.7491590581451226,0.2820512820512823,-0.7217299910917877,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.657894736842105,43,6295.0,low,0,1,1,0
19,19,19,19,20,20,0,81,chevrolet,four,sedan,fwd,front,94.5,0.7630946660259491,0.2820512820512823,-0.7217299910917877,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.657894736842105,43,6575.0,low,0,1,1,0
20,20,20,20,21,21,1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541355,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,6.837837837837838,41,5572.0,low,0,1,1,0
21,21,21,21,22,22,1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541355,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,8.161290322580646,38,6377.0,low,0,1,1,0
22,22,22,22,23,23,1,118,dodge,two,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.2119616831541355,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,10.541666666666666,30,7957.0,low,0,1,0,1
23,23,23,23,24,24,1,148,dodge,four,hatchback,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.293666965164525,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,8.161290322580646,38,6229.0,low,0,1,1,0
24,24,24,24,25,25,1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.293666965164525,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,8.161290322580646,38,6692.0,low,0,1,1,0
25,25,25,25,26,26,1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.293666965164525,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,8.161290322580646,38,7609.0,low,0,1,1,0
26,26,26,26,27,27,1,148,dodge,four,sedan,fwd,front,93.7,0.7558865929841423,0.2991452991452991,-1.293666965164525,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,10.541666666666666,30,8558.0,low,0,1,0,1
27,27,27,27,28,28,-1,110,dodge,four,wagon,fwd,front,103.3,0.8390197020663143,0.3675213675213672,2.464776007313464,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,10.541666666666666,30,8921.0,low,0,1,1,0
28,28,28,28,29,29,3,145,dodge,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853064,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,13.31578947368421,24,12964.0,Medium,0,1,0,1
29,29,29,29,30,30,2,137,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.3076923076923077,-1.2119616831541355,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,5.163265306122449,54,6479.0,low,0,1,1,0
30,30,30,30,31,31,2,137,honda,two,hatchback,fwd,front,86.6,0.6948582412301778,0.3076923076923077,-1.2119616831541355,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,8.161290322580646,38,6855.0,low,0,1,1,0
31,31,31,31,32,32,1,101,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.3162393162393164,-0.4766141450606138,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,6.657894736842105,42,5399.0,low,0,1,1,0
32,32,32,32,33,33,1,101,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.3162393162393164,-0.4766141450606138,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,8.433333333333334,34,6529.0,low,0,1,1,0
33,33,33,33,34,34,1,101,honda,two,hatchback,fwd,front,93.7,0.7208073041806824,0.3162393162393164,-0.4766141450606138,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,8.433333333333334,34,7129.0,low,0,1,1,0
34,34,34,34,35,35,0,110,honda,four,sedan,fwd,front,96.5,0.7851994233541567,0.3162393162393164,0.2995860340381011,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,8.433333333333334,34,7295.0,low,0,1,1,0
35,35,35,35,36,36,0,78,honda,four,wagon,fwd,front,96.5,0.754925516578568,0.3076923076923077,1.8519863922355309,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,8.433333333333334,34,7295.0,low,0,1,1,0
36,36,36,36,37,37,0,106,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4188034188034192,-0.1906456580242466,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,9.37037037037037,33,7895.0,low,0,1,1,0
37,37,37,37,38,38,0,106,honda,two,hatchback,fwd,front,96.5,0.8049014896684287,0.4188034188034192,-0.1906456580242466,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,9.37037037037037,33,9095.0,low,0,1,1,0
38,38,38,38,39,39,0,85,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.4188034188034192,0.1361754700173194,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,9.37037037037037,33,8845.0,low,0,1,1,0
39,39,39,39,40,40,0,85,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.1880341880341882,0.1361754700173194,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,9.37037037037037,33,10295.0,low,0,1,1,0
40,40,40,40,41,41,0,85,honda,four,sedan,fwd,front,96.5,0.8428640076886112,0.4188034188034192,0.1361754700173194,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,10.541666666666666,28,12945.0,low,0,1,1,0
41,41,41,41,42,42,1,107,honda,two,sedan,fwd,front,96.5,0.8125901009130225,0.4871794871794873,-1.1302564011437433,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,10.12,31,10345.0,low,0,1,1,0
42,42,42,42,43,43,0,122,isuzu,four,sedan,rwd,front,94.3,0.8202787121576165,0.1282051282051281,-0.1089403760138544,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,10.541666666666666,29,6785.0,low,0,1,1,0
43,43,43,43,46,46,2,122,isuzu,two,hatchback,rwd,front,96.0,0.8294089380105718,0.4188034188034192,-0.9668458371229616,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,10.541666666666666,29,11048.0,low,0,1,1,0
44,44,44,44,47,47,0,145,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.7948717948717945,-0.3949088630502244,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,16.866666666666667,19,32250.0,Medium,0,1,1,0
45,45,45,45,48,48,0,122,jaguar,four,sedan,rwd,front,113.0,0.9591542527630946,0.7948717948717945,-0.3949088630502244,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,16.866666666666667,19,35550.0,Medium,0,1,1,0
46,46,46,46,49,49,0,122,jaguar,two,sedan,rwd,front,102.0,0.921191734742912,0.8803418803418799,-2.437540913310002,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,19.46153846153846,17,36000.0,High,0,1,1,0
47,47,47,47,50,50,1,104,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.3333333333333337,0.1361754700173194,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,8.433333333333334,31,5195.0,low,0,1,1,0
48,48,48,48,51,51,1,104,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.3333333333333337,0.1361754700173194,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,8.161290322580646,38,6095.0,low,0,1,1,0
49,49,49,49,52,52,1,104,mazda,two,hatchback,fwd,front,93.1,0.7645362806343105,0.3333333333333337,0.1361754700173194,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,8.161290322580646,38,6795.0,low,0,1,1,0
50,50,50,50,53,53,1,113,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.3333333333333337,0.1361754700173194,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,8.161290322580646,38,6695.0,low,0,1,1,0
51,51,51,51,54,54,1,113,mazda,four,sedan,fwd,front,93.1,0.8015377222489188,0.3333333333333337,0.1361754700173194,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,8.161290322580646,38,7395.0,low,0,1,1,0
52,52,52,52,55,55,3,150,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752164804,2380,rotor,two,70,4bbl,,3.256903553299492,9.4,101,6000.0,14.882352941176473,23,10945.0,low,0,1,1,0
53,53,53,53,56,56,3,150,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752164804,2380,rotor,two,70,4bbl,,3.256903553299492,9.4,101,6000.0,14.882352941176473,23,11845.0,low,0,1,1,0
54,54,54,54,57,57,3,150,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752164804,2385,rotor,two,70,4bbl,,3.256903553299492,9.4,101,6000.0,14.882352941176473,23,13645.0,low,0,1,1,0
55,55,55,55,58,58,3,150,mazda,two,hatchback,rwd,front,95.3,0.8121095627102355,0.4615384615384619,-1.7021933752164804,2500,rotor,two,80,mpfi,,3.256903553299492,9.4,135,6000.0,15.8125,23,15645.0,Medium,0,1,1,0
56,56,56,56,59,59,1,129,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.52991452991453,-0.0272350940034621,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.73076923076923,32,8845.0,low,0,1,1,0
57,57,57,57,60,60,0,115,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.7081124440900566,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.73076923076923,32,8495.0,low,0,1,1,0
58,58,58,58,61,61,1,129,mazda,two,hatchback,fwd,front,98.8,0.8543969245555022,0.52991452991453,-0.0272350940034621,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.73076923076923,32,10595.0,low,0,1,1,0
59,59,59,59,62,62,0,115,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.7081124440900566,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.73076923076923,32,10245.0,low,0,1,1,0
60,60,60,60,63,63,0,122,mazda,four,sedan,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.7081124440900566,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,7.027777777777778,42,10795.0,low,1,0,1,0
61,61,61,61,64,64,0,115,mazda,four,hatchback,fwd,front,98.8,0.8543969245555022,0.52991452991453,0.7081124440900566,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.73076923076923,32,11245.0,low,0,1,1,0
62,62,62,62,65,65,0,118,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.4957264957264953,0.258733393032905,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,13.31578947368421,27,18280.0,Medium,0,1,1,0
63,63,63,63,66,66,0,122,mazda,four,sedan,rwd,front,104.9,0.8409418548774628,0.4957264957264953,0.258733393032905,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,8.161290322580646,39,18344.0,low,1,0,1,0
64,64,64,64,67,67,-1,93,mercedes-benz,four,sedan,rwd,front,110.0,0.9173474291206152,0.8547008547008544,1.1166388541420122,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,11.5,25,25552.0,Medium,1,0,0,1
65,65,65,65,68,68,-1,93,mercedes-benz,four,wagon,rwd,front,110.0,0.9173474291206152,0.8547008547008544,2.0153969562563154,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,11.5,25,28248.0,Medium,1,0,0,1
66,66,66,66,69,69,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,0.9010091302258528,0.8547008547008544,0.4629965980588827,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,11.5,25,28176.0,Medium,1,0,0,1
67,67,67,67,70,70,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467084,0.9743589743589746,1.03493357213162,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,11.5,25,31600.0,Medium,1,0,0,1
68,68,68,68,71,71,-1,122,mercedes-benz,four,sedan,rwd,front,115.6,0.9735703988467084,0.9743589743589746,1.1166388541420122,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,15.8125,18,34184.0,Medium,0,1,1,0
69,69,69,69,72,72,3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.8664103796251803,0.8717948717948718,-1.2119616831541355,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,15.8125,18,35056.0,Medium,0,1,1,0
70,70,70,70,73,73,0,122,mercedes-benz,four,sedan,rwd,front,120.9,1.0,0.9743589743589746,1.1983441361524043,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,18.071428571428573,16,40960.0,Medium,0,1,1,0
71,71,71,71,74,74,1,122,mercedes-benz,two,hardtop,rwd,front,112.0,0.957232099951946,1.0,0.6672598030848605,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,18.071428571428573,16,45400.0,Medium,0,1,1,0
72,72,72,72,75,75,1,122,mercury,two,hatchback,rwd,front,102.7,0.857280153772225,0.6581196581196582,0.4221439570536866,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,13.31578947368421,24,16503.0,Medium,0,1,0,1
73,73,73,73,76,76,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.350427350427351,-1.2119616831541355,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,6.837837837837838,41,5389.0,low,0,1,1,0
74,74,74,74,77,77,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.350427350427351,-1.2119616831541355,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,8.161290322580646,38,6189.0,low,0,1,1,0
75,75,75,75,78,78,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.7558865929841423,0.350427350427351,-1.2119616831541355,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,8.161290322580646,38,6669.0,low,0,1,1,0
76,76,76,76,79,79,1,161,mitsubishi,two,hatchback,fwd,front,93.0,0.7558865929841423,0.2991452991452991,-1.2119616831541355,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,10.541666666666666,30,7689.0,low,0,1,0,1
77,77,77,77,80,80,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4358974358974365,-1.783898657226873,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,11.0,30,9959.0,low,0,1,0,1
78,78,78,78,81,81,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.8313310908217203,0.4358974358974365,-1.783898657226873,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,10.12,32,8499.0,low,0,1,1,0
79,79,79,79,82,82,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853064,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,13.31578947368421,24,12629.0,Medium,0,1,0,1
80,80,80,80,83,83,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853064,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,13.31578947368421,24,14869.0,Medium,0,1,0,1
81,81,81,81,84,84,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.8322921672272945,0.5128205128205127,-1.4570775291853064,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,13.31578947368421,24,14489.0,Medium,0,1,0,1
82,82,82,82,85,85,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125693,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,10.12,32,6989.0,low,0,1,1,0
83,83,83,83,86,86,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125693,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,10.12,32,8189.0,low,0,1,1,0
84,84,84,84,87,87,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125693,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,11.0,30,9279.0,low,0,1,0,1
85,85,85,85,88,88,-1,137,mitsubishi,four,sedan,fwd,front,96.3,0.8284478616049976,0.4358974358974365,-0.8851405551125693,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,11.0,30,9279.0,low,0,1,1,0
86,86,86,86,89,89,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,8.161290322580646,37,5499.0,low,0,1,1,0
87,87,87,87,90,90,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,5.622222222222222,50,7099.0,low,1,0,1,0
88,88,88,88,91,91,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,8.161290322580646,37,6649.0,low,0,1,1,0
89,89,89,89,92,92,1,122,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,8.161290322580646,37,6849.0,low,0,1,1,0
90,90,90,90,93,93,1,103,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.2991452991452991,-0.1089403760138544,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,8.161290322580646,37,7349.0,low,0,1,1,0
91,91,91,91,94,94,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,8.161290322580646,37,7299.0,low,0,1,1,0
92,92,92,92,95,95,1,128,nissan,two,hatchback,fwd,front,94.5,0.7957712638154734,0.2991452991452991,-0.1906456580242466,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,8.161290322580646,37,7799.0,low,0,1,1,0
93,93,93,93,96,96,1,122,nissan,four,sedan,fwd,front,94.5,0.794329649207112,0.2991452991452991,0.2995860340381011,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,8.161290322580646,37,7499.0,low,0,1,1,0
94,94,94,94,97,97,1,103,nissan,four,wagon,fwd,front,94.5,0.8178760211436809,0.2991452991452991,-0.1089403760138544,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,8.161290322580646,37,7999.0,low,0,1,1,0
95,95,95,95,98,98,2,168,nissan,two,hardtop,fwd,front,95.1,0.7803940413262855,0.2991452991452991,-0.1906456580242466,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,8.161290322580646,37,8249.0,low,0,1,1,0
96,96,96,96,99,99,0,106,nissan,four,hatchback,fwd,front,97.2,0.8332532436328689,0.4188034188034192,0.3812913160484933,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,9.37037037037037,34,8949.0,low,0,1,1,0
97,97,97,97,100,100,0,106,nissan,four,sedan,fwd,front,97.2,0.8332532436328689,0.4188034188034192,0.3812913160484933,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,9.37037037037037,34,9549.0,low,0,1,1,0
98,98,98,98,101,101,0,128,nissan,four,sedan,fwd,front,100.4,0.8731379144641999,0.52991452991453,0.544701880069275,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,14.882352941176473,22,13499.0,Medium,0,1,1,0
99,99,99,99,102,102,0,108,nissan,four,wagon,fwd,front,100.4,0.8870735223450265,0.52991452991453,0.9532282901212306,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,14.882352941176473,22,14399.0,Medium,0,1,1,0
100,100,100,100,103,103,0,108,nissan,four,sedan,fwd,front,100.4,0.8870735223450265,0.52991452991453,0.544701880069275,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.31578947368421,25,13499.0,Medium,0,1,1,0
101,101,101,101,104,104,3,194,nissan,two,hatchback,rwd,front,91.3,0.8202787121576165,0.6495726495726502,-1.6613407342112845,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,13.31578947368421,25,17199.0,Medium,0,1,1,0
102,102,102,102,105,105,3,194,nissan,two,hatchback,rwd,front,91.3,0.8202787121576165,0.6495726495726502,-1.6613407342112845,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,14.882352941176473,23,19699.0,High,0,1,0,1
103,103,103,103,106,106,1,231,nissan,two,hatchback,rwd,front,99.2,0.857760691975012,0.6495726495726502,-1.6613407342112845,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,13.31578947368421,25,18399.0,Medium,0,1,1,0
104,104,104,104,107,107,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361524043,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,13.31578947368421,24,11900.0,low,0,1,1,0
105,105,105,105,108,108,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361524043,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.035714285714286,33,13200.0,low,1,0,0,1
106,106,106,106,109,109,0,122,peugot,four,wagon,rwd,front,114.2,0.9557904853435848,0.6923076923076928,2.0153969562563154,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,13.31578947368421,24,12440.0,low,0,1,1,0
107,107,107,107,110,110,0,122,peugot,four,wagon,rwd,front,114.2,0.9557904853435848,0.6923076923076928,2.0153969562563154,3430,l,four,152,idi,3.7,3.52,21.0,95,4150.0,10.12,25,13860.0,low,1,0,0,1
108,108,108,108,111,111,0,161,peugot,four,sedan,rwd,front,107.9,0.897164824603556,0.6923076923076928,1.1983441361524043,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,13.31578947368421,24,15580.0,low,0,1,1,0
